Fold,10_y_test,10_y_proba,15_y_test,15_y_proba,30_y_test,30_y_proba,1_y_test,1_y_proba,3_y_test,3_y_proba,4_y_test,4_y_proba
0,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
1,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
2,True,0.49697608131797844,True,0.4928815631637348,True,0.4949441674158467,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
3,True,0.494949494949495,True,0.49397709507181414,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
4,True,0.49697608131797844,True,0.4928815631637348,True,0.4949441674158467,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
5,True,0.49697608131797844,True,0.4928815631637348,True,0.4949441674158467,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
6,True,0.49697608131797844,True,0.4928815631637348,True,0.4949441674158467,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
7,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
8,True,0.49697608131797844,True,0.4928815631637348,True,0.4949258408309817,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
9,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
10,True,0.49697608131797844,True,0.4928815631637348,True,0.4949441674158467,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
11,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
12,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
13,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
14,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
15,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
16,True,0.494949494949495,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
17,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
18,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
19,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
20,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
21,True,0.49697608131797844,True,0.4928815631637348,True,0.4949441674158467,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
22,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
23,True,0.49697608131797844,True,0.4926153129550234,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
24,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
25,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
26,True,0.49697608131797844,True,0.49697608131797844,True,0.4977665444777913,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
27,True,0.49697608131797844,True,0.4928815631637348,True,0.4947245174345399,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
28,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
29,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
30,True,0.494949494949495,True,0.4928815631637348,True,0.4949441674158467,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
31,True,0.29768760466957633,True,0.3289443671109181,True,0.34626061443456896,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
32,True,0.494949494949495,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
33,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
34,True,0.49697608131797844,True,0.4928815631637348,True,0.4949441674158467,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
35,True,0.49697608131797844,True,0.4928815631637348,True,0.4949441674158467,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
36,True,0.49697608131797844,True,0.4928815631637348,True,0.4949441674158467,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
37,True,0.49697608131797844,True,0.49697608131797844,True,0.4949258408309817,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
38,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
39,True,0.49697608131797844,True,0.4926153129550234,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
40,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
41,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
42,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
43,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
44,True,0.49697608131797844,True,0.4928815631637348,True,0.4949441674158467,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
45,True,0.49697608131797844,True,0.4928815631637348,True,0.4949441674158467,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
46,True,0.494949494949495,True,0.4928815631637348,True,0.4949441674158467,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
47,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
48,True,0.49697608131797844,True,0.4928815631637348,True,0.4949441674158467,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
49,True,0.49697608131797844,True,0.4928815631637348,True,0.49397709507181414,True,0.494949494949495,True,0.494949494949495,True,0.494949494949495
50,False,0.5072037386133088,False,0.5030239186820216,False,0.5045650164609353,False,0.505050505050505,False,0.505050505050505,False,0.505050505050505
51,False,0.5072037386133088,False,0.5030239186820216,False,0.5045650164609353,False,0.505050505050505,False,0.505050505050505,False,0.505050505050505
52,False,0.5072037386133088,False,0.5030239186820216,False,0.5045650164609353,False,0.505050505050505,False,0.505050505050505,False,0.505050505050505
53,False,0.5072037386133088,False,0.5030239186820216,False,0.5045650164609353,False,0.505050505050505,False,0.505050505050505,False,0.505050505050505
54,False,0.5072037386133088,False,0.5030239186820216,False,0.5045650164609353,False,0.505050505050505,False,0.505050505050505,False,0.505050505050505
55,False,0.5072037386133088,False,0.5030239186820216,False,0.5045650164609353,False,0.505050505050505,False,0.505050505050505,False,0.505050505050505
56,False,0.5030239186820216,False,0.5030239186820216,False,0.5045650164609353,False,0.505050505050505,False,0.505050505050505,False,0.505050505050505
57,False,0.5072037386133088,False,0.5030239186820216,False,0.5045650164609353,False,0.505050505050505,False,0.505050505050505,False,0.505050505050505
58,False,0.5072037386133088,False,0.5030239186820216,False,0.5045650164609353,False,0.505050505050505,False,0.505050505050505,False,0.505050505050505
59,False,0.5072037386133088,False,0.5030239186820216,False,0.5045650164609353,False,0.505050505050505,False,0.505050505050505,False,0.505050505050505
60,False,0.5072037386133088,False,0.5030239186820216,False,0.5045650164609353,False,0.505050505050505,False,0.505050505050505,False,0.505050505050505
