Fold,10_y_test,10_y_proba,15_y_test,15_y_proba,30_y_test,30_y_proba,1_y_test,1_y_proba,3_y_test,3_y_proba,4_y_test,4_y_proba
0,True,0.5431508375709527,True,0.538317429471635,True,0.4813442528964795,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
1,True,0.4508500413321223,True,0.3749272406869343,True,0.44319805725067357,True,0.5060956780924492,True,0.4539967448282896,True,0.4539967448282896
2,True,0.5431508375709527,True,0.538317429471635,True,0.564963766839801,True,0.5060956780924492,True,0.544730641025753,True,0.544730641025753
3,True,0.532491993568256,True,0.538317429471635,True,0.564963766839801,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
4,True,0.5431508375709527,True,0.538317429471635,True,0.4813442528964795,True,0.5060956780924492,True,0.544730641025753,True,0.544730641025753
5,True,0.45165690574598877,True,0.538317429471635,True,0.564963766839801,True,0.5060956780924492,True,0.4539967448282896,True,0.4539967448282896
6,True,0.5184441747777975,True,0.538317429471635,True,0.564963766839801,True,0.5060956780924492,True,0.544730641025753,True,0.544730641025753
7,True,0.5431508375709528,True,0.538317429471635,True,0.564963766839801,True,0.5060956780924492,True,0.544730641025753,True,0.544730641025753
8,True,0.5431508375709528,True,0.538317429471635,True,0.4813442528964795,True,0.5060956780924492,True,0.544730641025753,True,0.544730641025753
9,True,0.509460395326064,True,0.538317429471635,True,0.538317429471635,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
10,True,0.5431508375709527,True,0.538317429471635,True,0.564963766839801,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
11,True,0.509460395326064,True,0.538317429471635,True,0.4813442528964795,True,0.5060956780924492,True,0.544730641025753,True,0.544730641025753
12,True,0.5431508375709527,True,0.538317429471635,True,0.564963766839801,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
13,True,0.5184441747777975,True,0.538317429471635,True,0.564963766839801,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
14,True,0.4523595958338173,True,0.538317429471635,True,0.4813442528964795,True,0.4539967448282896,True,0.4539967448282896,True,0.4539967448282896
15,True,0.509460395326064,True,0.538317429471635,True,0.4813442528964795,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
16,True,0.5431508375709527,True,0.538317429471635,True,0.564963766839801,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
17,True,0.4539967448282896,True,0.538317429471635,True,0.564963766839801,True,0.48211506372348456,True,0.4539967448282896,True,0.4539967448282896
18,True,0.4523595958338173,True,0.538317429471635,True,0.4813442528964795,True,0.5060956780924492,True,0.4539967448282896,True,0.4539967448282896
19,True,0.49994102473192875,True,0.4849377640803786,True,0.46247031157298746,True,0.5060956780924492,True,0.544730641025753,True,0.544730641025753
20,True,0.4479633345574696,True,0.3749272406869343,True,0.3749272406869343,True,0.48211506372348456,True,0.4539967448282896,True,0.4539967448282896
21,True,0.4523595958338173,True,0.538317429471635,True,0.4813442528964795,True,0.48211506372348456,True,0.4539967448282896,True,0.4539967448282896
22,True,0.4523595958338173,True,0.3749272406869343,True,0.3826168286806846,True,0.5060956780924492,True,0.4539967448282896,True,0.4539967448282896
23,True,0.5431508375709527,True,0.538317429471635,True,0.564963766839801,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
24,True,0.5184441747777975,True,0.538317429471635,True,0.564963766839801,True,0.5060956780924492,True,0.544730641025753,True,0.544730641025753
25,True,0.4539967448282896,True,0.538317429471635,True,0.564963766839801,True,0.5060956780924492,True,0.4539967448282896,True,0.4539967448282896
26,True,0.383397453681518,True,0.4849377640803786,True,0.46247031157298746,True,0.5060956780924492,True,0.45165690574598877,True,0.45165690574598877
27,True,0.4539967448282896,True,0.538317429471635,True,0.4813442528964795,True,0.48211506372348456,True,0.4539967448282896,True,0.4539967448282896
28,True,0.5184441747777975,True,0.538317429471635,True,0.4813442528964795,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
29,True,0.4523595958338173,True,0.538317429471635,True,0.564963766839801,True,0.5060956780924492,True,0.4539967448282896,True,0.4539967448282896
30,True,0.38827883126593093,True,0.4849377640803786,True,0.5424203393191317,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
31,True,0.4539967448282896,True,0.538317429471635,True,0.564963766839801,True,0.5060956780924492,True,0.4539967448282896,True,0.4539967448282896
32,True,0.4508500413321223,True,0.538317429471635,True,0.564963766839801,True,0.5060956780924492,True,0.4539967448282896,True,0.4539967448282896
33,True,0.4508500413321223,True,0.538317429471635,True,0.564963766839801,True,0.48211506372348456,True,0.4539967448282896,True,0.45165690574598877
34,True,0.4523595958338173,True,0.538317429471635,True,0.4813442528964795,True,0.48211506372348456,True,0.4539967448282896,True,0.4539967448282896
35,True,0.4508500413321223,True,0.4849377640803786,True,0.5424203393191317,True,0.48211506372348456,True,0.4539967448282896,True,0.4539967448282896
36,True,0.509460395326064,True,0.538317429471635,True,0.564963766839801,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
37,True,0.5431508375709527,True,0.538317429471635,True,0.4813442528964795,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
38,True,0.5431508375709527,True,0.538317429471635,True,0.4813442528964795,True,0.5060956780924492,True,0.544730641025753,True,0.544730641025753
39,True,0.5431508375709527,True,0.538317429471635,True,0.4813442528964795,True,0.5060956780924492,True,0.544730641025753,True,0.544730641025753
40,True,0.509460395326064,True,0.538317429471635,True,0.4813442528964795,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
41,True,0.45165690574598877,True,0.3749272406869343,True,0.44319805725067357,True,0.48211506372348456,True,0.4539967448282896,True,0.4539967448282896
42,True,0.509460395326064,True,0.538317429471635,True,0.564963766839801,True,0.48211506372348456,True,0.544730641025753,True,0.544730641025753
43,True,0.4539967448282896,True,0.3749272406869343,True,0.3826168286806845,True,0.48211506372348456,True,0.4539967448282896,True,0.4539967448282896
44,True,0.4539967448282896,True,0.538317429471635,True,0.564963766839801,True,0.5060956780924492,True,0.4539967448282896,True,0.4539967448282896
45,True,0.45165690574598877,True,0.4849377640803786,True,0.5424203393191317,True,0.48211506372348456,True,0.4539967448282896,True,0.4539967448282896
46,True,0.532491993568256,True,0.538317429471635,True,0.564963766839801,True,0.5060956780924492,True,0.544730641025753,True,0.544730641025753
47,True,0.5184441747777975,True,0.538317429471635,True,0.564963766839801,True,0.5060956780924492,True,0.544730641025753,True,0.544730641025753
48,True,0.4508500413321223,True,0.538317429471635,True,0.564963766839801,True,0.5060956780924492,True,0.4539967448282896,True,0.4539967448282896
49,True,0.45165690574598877,True,0.538317429471635,True,0.564963766839801,True,0.48211506372348456,True,0.4539967448282896,True,0.4539967448282896
50,False,0.48894170491390143,False,0.51766237518172,False,0.5786904296147843,False,0.5212620895383673,False,0.46720283114010885,False,0.46720283114010885
51,False,0.5043894700464648,False,0.5498743336188465,False,0.4941409004530728,False,0.46720283114010885,False,0.46720283114010885,False,0.46720283114010885
52,False,0.5585589383296778,False,0.5498743336188465,False,0.4941409004530728,False,0.5212620895383673,False,0.5603165292596708,False,0.5603165292596708
53,False,0.5591743012648099,False,0.5498743336188465,False,0.4941409004530728,False,0.5212620895383673,False,0.5603165292596708,False,0.5603165292596708
54,False,0.5585589383296778,False,0.5498743336188465,False,0.4941409004530728,False,0.5212620895383673,False,0.5603165292596708,False,0.5603165292596708
55,False,0.4884534592346493,False,0.5498743336188465,False,0.4941409004530728,False,0.46720283114010885,False,0.46720283114010885,False,0.46720283114010885
56,False,0.5592356117001949,False,0.51766237518172,False,0.4941409004530728,False,0.4955931129463195,False,0.5603165292596708,False,0.5603165292596708
57,False,0.4884534592346493,False,0.5498743336188465,False,0.4941409004530728,False,0.4955931129463195,False,0.46720283114010885,False,0.46720283114010885
58,False,0.46551959231809276,False,0.37847767255114506,False,0.40077200652257816,False,0.4955931129463195,False,0.46720283114010885,False,0.46720283114010885
59,False,0.5481948262110353,False,0.5498743336188465,False,0.5786904296147843,False,0.4955931129463195,False,0.5603165292596708,False,0.5603165292596708
60,False,0.46551959231809276,False,0.4240131195558063,False,0.40077200652257816,False,0.46720283114010885,False,0.46720283114010885,False,0.46720283114010885
61,False,0.5227955946134666,False,0.5301625080089019,False,0.5058541231288853,False,0.4955931129463195,False,0.46720283114010885,False,0.46720283114010885
62,False,0.4884534592346493,False,0.5498743336188465,False,0.4941409004530728,False,0.4955931129463195,False,0.46720283114010885,False,0.46720283114010885
63,False,0.48894170491390143,False,0.37847767255114506,False,0.40077200652257816,False,0.4955931129463195,False,0.46720283114010885,False,0.46720283114010885
64,False,0.5227955946134666,False,0.4240131195558063,False,0.40077200652257816,False,0.4955931129463195,False,0.46720283114010885,False,0.46720283114010885
65,False,0.46551959231809276,False,0.51766237518172,False,0.5786904296147843,False,0.46720283114010885,False,0.46720283114010885,False,0.46720283114010885
66,False,0.5915629946985367,False,0.5847810902806113,False,0.5058541231288853,False,0.4955931129463195,False,0.46720283114010885,False,0.46720283114010885
67,False,0.48894170491390143,False,0.4240131195558063,False,0.40077200652257816,False,0.5212620895383673,False,0.46720283114010885,False,0.46720283114010885
68,False,0.46551959231809276,False,0.51766237518172,False,0.4941409004530728,False,0.4955931129463195,False,0.46720283114010885,False,0.46720283114010885
69,False,0.37847767255114506,False,0.37847767255114506,False,0.5058541231288853,False,0.5212620895383673,False,0.46720283114010885,False,0.46720283114010885
70,False,0.46551959231809276,False,0.5301625080089019,False,0.40077200652257816,False,0.5212620895383673,False,0.46720283114010885,False,0.46720283114010885
71,False,0.5591743012648099,False,0.37847767255114506,False,0.40077200652257816,False,0.5603165292596708,False,0.5603165292596708,False,0.5603165292596708
72,False,0.4884534592346493,False,0.5498743336188465,False,0.4941409004530728,False,0.4955931129463195,False,0.46720283114010885,False,0.46720283114010885
73,False,0.5585589383296778,False,0.51766237518172,False,0.4941409004530728,False,0.4955931129463195,False,0.5603165292596708,False,0.5603165292596708
74,False,0.4884534592346493,False,0.4240131195558063,False,0.5058541231288853,False,0.5212620895383673,False,0.46720283114010885,False,0.46720283114010885
75,False,0.4884534592346493,False,0.5498743336188465,False,0.4941409004530728,False,0.5212620895383673,False,0.46720283114010885,False,0.46720283114010885
76,False,0.46551959231809276,False,0.37847767255114506,False,0.40077200652257816,False,0.4955931129463195,False,0.46720283114010885,False,0.46720283114010885
77,False,0.5603165292596708,False,0.37847767255114506,False,0.40077200652257816,False,0.5603165292596708,False,0.5603165292596708,False,0.5603165292596708
78,False,0.5591743012648099,False,0.5498743336188465,False,0.4941409004530728,False,0.5212620895383673,False,0.5603165292596708,False,0.5603165292596708
79,False,0.5227955946134666,False,0.5498743336188465,False,0.4941409004530728,False,0.5212620895383673,False,0.46720283114010885,False,0.46720283114010885
80,False,0.5227955946134666,False,0.5498743336188465,False,0.4941409004530728,False,0.46720283114010885,False,0.46720283114010885,False,0.46720283114010885
81,False,0.48894170491390143,False,0.5497295495703162,False,0.4941409004530728,False,0.4955931129463195,False,0.46720283114010885,False,0.46720283114010885
82,False,0.46551959231809265,False,0.5498743336188465,False,0.4941409004530728,False,0.5212620895383673,False,0.46720283114010885,False,0.46720283114010885
83,False,0.46551959231809265,False,0.4240131195558063,False,0.40077200652257816,False,0.5212620895383673,False,0.46720283114010885,False,0.46720283114010885
84,False,0.4884534592346493,False,0.5498743336188465,False,0.4941409004530728,False,0.5212620895383673,False,0.46720283114010885,False,0.46720283114010885
85,False,0.48894170491390143,False,0.4240131195558063,False,0.40077200652257816,False,0.46720283114010885,False,0.46720283114010885,False,0.46720283114010885
86,False,0.40660863389620766,False,0.51766237518172,False,0.4941409004530728,False,0.46720283114010885,False,0.46720283114010885,False,0.46720283114010885
87,False,0.5043894700464648,False,0.5498743336188465,False,0.5786904296147843,False,0.4955931129463195,False,0.46720283114010885,False,0.46720283114010885
88,False,0.5227955946134666,False,0.4240131195558063,False,0.5058541231288853,False,0.5212620895383673,False,0.46720283114010885,False,0.46540235943959823
89,False,0.46551959231809276,False,0.38290525617789867,False,0.40077200652257816,False,0.46720283114010885,False,0.46720283114010885,False,0.46720283114010885
90,False,0.5585589383296778,False,0.5498743336188465,False,0.4941409004530728,False,0.5212620895383673,False,0.5603165292596708,False,0.5603165292596708
91,False,0.5585589383296778,False,0.5498743336188465,False,0.5786904296147843,False,0.4955931129463195,False,0.5603165292596708,False,0.5603165292596708
92,False,0.48894170491390143,False,0.37847767255114506,False,0.5058541231288853,False,0.4955931129463195,False,0.46720283114010885,False,0.46720283114010885
93,False,0.5481948262110353,False,0.5498743336188465,False,0.4941409004530728,False,0.5212620895383673,False,0.5603165292596708,False,0.5603165292596708
94,False,0.5585589383296778,False,0.51766237518172,False,0.4941409004530728,False,0.5212620895383673,False,0.5603165292596708,False,0.5603165292596708
95,False,0.4884534592346493,False,0.4240131195558063,False,0.5058541231288853,False,0.5212620895383673,False,0.46720283114010885,False,0.46720283114010885
96,False,0.5481948262110353,False,0.5498743336188465,False,0.4941409004530728,False,0.4955931129463195,False,0.5603165292596708,False,0.5603165292596708
97,False,0.5592356117001949,False,0.51766237518172,False,0.4941409004530728,False,0.5212620895383673,False,0.5603165292596708,False,0.5603165292596708
98,False,0.46551959231809276,False,0.4240131195558063,False,0.40077200652257816,False,0.5212620895383673,False,0.46720283114010885,False,0.46720283114010885
99,False,0.5603165292596708,False,0.4240131195558063,False,0.5058541231288853,False,0.4955931129463195,False,0.5603165292596708,False,0.5603165292596708
