Fold,10_y_test,10_y_proba,15_y_test,15_y_proba,30_y_test,30_y_proba,1_y_test,1_y_proba,3_y_test,3_y_proba,4_y_test,4_y_proba
1.0,True,0.1,True,0.5,True,0.6,True,0.4604871597592096,True,0.3415850458375885,True,0.2751023201258258
2.0,True,0.44000000000000006,True,0.4,True,0.7,True,0.4601296781042885,True,0.3888861232611233,True,0.5782786657786658
3.0,True,0.31,True,0.5,True,0.8,True,0.42338300399111056,True,0.28888936538656107,True,0.30865932097560667
4.0,True,0.825,True,0.875,True,0.8,True,0.40723396061879014,True,0.3597411237229785,True,0.6483100233100234
5.0,True,0.1,True,0.5,True,0.7,True,0.47031233056660343,True,0.3273252328019105,True,0.30053946598064246
6.0,True,0.8,True,0.3,True,0.6,True,0.43103608048193925,True,0.408486989736652,True,0.35333333333333333
7.0,True,0.02608695652173913,True,0.0,True,0.3,True,0.4353719383321476,True,0.598927853192559,True,0.4631718281718283
8.0,True,0.021739130434782608,True,0.25,True,0.2,True,0.3758464414282877,True,0.34034889024488935,True,0.33343957418194237
9.0,True,0.0,True,0.4,True,0.0,True,0.43882793278430243,True,0.3202129392764949,True,0.2688175354203013
10.0,True,0.85,True,0.16666666666666666,True,0.5,True,0.44111901520747676,True,0.38536464729509057,True,0.6790686274509803
11.0,True,0.2223597468942297,True,0.10073412698412698,True,0.2,True,0.44792552622298915,True,0.3446832622180507,True,0.3405009742147488
12.0,True,0.76,True,0.4,True,0.5,True,0.47406980243685337,True,0.3929785771249875,True,0.31238362726432634
13.0,True,0.19255558584344193,True,0.6,True,0.7,True,0.46799534275333193,True,0.31739390541731655,True,0.2768263035534573
14.0,True,0.32333333333333336,True,0.8,True,0.6,True,0.4477076008213574,True,0.35335493388092143,True,0.3473080904602644
15.0,True,0.635,True,0.3,True,0.3,True,0.4473575238743779,True,0.7431131806789701,True,0.7338618326118327
16.0,True,0.5599999999999998,True,0.2,True,0.5,True,0.4273668350815235,True,0.7335572515719575,True,0.6706755525176578
17.0,True,0.75,True,0.7,True,0.7,True,0.4415382523823278,True,0.6831818181818182,True,0.4606042568542568
18.0,True,0.0,True,0.225,True,0.5,True,0.4561062447321211,True,0.356612857756686,True,0.30614970969962146
19.0,True,0.3,True,0.4,True,0.5,True,0.4455293328137235,True,0.35338997262614474,True,0.621427738927739
20.0,True,0.0,True,0.9181818181818182,True,0.3,True,0.4442474428298501,True,0.33149637240489405,True,0.3014610400118115
21.0,True,0.18,True,0.2,True,0.3,True,0.7179864664956198,True,0.6041170233275497,True,0.6263131313131313
22.0,True,0.8,True,0.4,True,0.4,True,0.42150536074354716,True,0.3364189563128727,True,0.3063877619612917
23.0,True,0.22346510125035976,True,0.0,True,0.2,True,0.4568648467043948,True,0.2953488177206974,True,0.3158047936036942
24.0,True,0.4428571428571429,True,0.31666666666666665,True,0.5,True,0.43864520546231656,True,0.3345743608505055,True,0.365124115979291
25.0,True,0.7666666666666667,True,0.9,True,0.6,True,0.46066553687611195,True,0.38813716668856335,True,0.679155419743655
26.0,True,0.7861111111111111,True,0.35,True,0.5,True,0.44172359509647413,True,0.7130468142968143,True,0.7061463536463537
27.0,True,0.1861438088618616,True,0.4333333333333333,True,0.2,True,0.4393320716239776,True,0.29049898968937216,True,0.3412012880148795
28.0,True,0.4235714285714286,True,0.5,True,0.6,True,0.45383757542814473,True,0.3096842274455762,True,0.2779860020038368
29.0,True,0.65,True,0.7,True,0.6,True,0.4429110366169736,True,0.6507519931049344,True,0.7247455648926238
30.0,True,0.2349495100627824,True,0.2,True,0.1,True,0.4851609957075283,True,0.37081664333526476,True,0.3448713971961951
31.0,True,0.22005830169110663,True,0.1,True,0.0,True,0.44840028148859357,True,0.28844223907995886,True,0.34661132768257896
32.0,True,0.192568332669036,True,0.38333333333333336,True,0.4,True,0.4430538412293553,True,0.28970017696929595,True,0.31850354810928505
33.0,True,0.21833333333333332,True,0.55,True,0.5,True,0.4338574258665099,True,0.3441017455907645,True,0.319004444179131
34.0,True,0.18603174603174605,True,0.7,True,0.7,True,0.44902060209221134,True,0.31510258863259555,True,0.3435266959754831
