Fold,10_y_test,10_y_proba,15_y_test,15_y_proba,30_y_test,30_y_proba,1_y_test,1_y_proba,3_y_test,3_y_proba,4_y_test,4_y_proba
1.0,True,0.5571428571428572,True,0.2,True,0.5,True,0.33031556580588817,True,0.29761904761904756,True,0.7291666666666667
2.0,True,0.9333333333333332,True,0.17464397780469929,True,0.46428571428571425,True,0.6643005578403524,True,0.601149530452237,True,0.9407407407407409
3.0,True,0.825,True,0.625,True,0.7,True,0.705851615084928,True,0.7299206349206349,True,0.9571428571428571
4.0,True,0.875,True,0.3,True,0.4,True,0.6586557937209794,True,1.0,True,0.9285714285714285
5.0,True,0.13476989867163947,True,0.22903926482873854,True,0.1,True,0.304628722828638,True,0.21889704457004142,True,0.19545191770801526
6.0,True,0.3352380952380952,True,0.1,True,0.7,True,0.7444451760527249,True,0.5915262089736142,True,0.5853727005683528
7.0,True,0.325,True,0.3076571055363625,True,0.5,True,0.7313227381685244,True,0.5672571301247772,True,0.44761904761904764
8.0,True,0.7266666666666668,True,0.2520833333333333,True,0.2,True,0.689569545559276,True,0.49495295698924735,True,0.45166666666666666
9.0,True,0.06382005675483936,True,0.19362655735069528,True,0.2234632034632035,True,0.34493681408676513,True,0.22128316484060645,True,0.17115045373389404
10.0,True,0.5442640692640693,True,0.65,True,0.9,True,0.7010314178575048,True,0.5708989101257684,True,0.45797125155047347
11.0,True,0.9,True,0.825,True,1.0,True,0.6965485524364905,True,1.0,True,0.975
12.0,True,0.5,True,0.75,True,0.8,True,0.3213700495907538,True,0.893095238095238,True,0.6691666666666667
13.0,True,0.530079365079365,True,0.17514408932029069,True,0.0,True,0.6731743526971463,True,0.5595101745444995,True,0.5464155909058457
14.0,True,0.7,True,0.9,True,0.6,True,0.6884557646181799,True,1.0,True,0.95
15.0,True,0.22711718635631678,True,0.29484126984126985,True,0.3,True,0.35233046773792587,True,0.2270872618077274,True,0.7333333333333334
16.0,True,0.06147201423970934,True,0.26666666666666666,True,0.6,True,0.33188466856797166,True,0.19390285311695407,True,0.18571442937017688
17.0,True,0.49523809523809526,True,0.5,True,0.5,True,0.7318243036033735,True,0.6088475663713967,True,0.5969797822314985
18.0,True,0.5402236652236652,True,0.7586707410236821,True,0.22499999999999995,True,0.7007690363172487,True,0.6149601859103963,True,0.5671193180962375
19.0,True,0.3,True,0.6,True,0.5,True,0.34850308199505886,True,0.1974140896343582,True,0.5605555555555556
20.0,True,0.2990773115773116,True,1.0,True,0.2,True,0.33424309830214616,True,0.20938256744139094,True,0.18338627658871098
21.0,True,0.31166666666666665,True,0.7,True,0.5,True,0.6805661846976638,True,0.5846503912729543,True,0.5202080794817461
22.0,True,0.4,True,0.9,True,0.5,True,0.3567694218485395,True,0.76,True,0.8300000000000001
23.0,True,0.6,True,0.5,True,0.6,True,0.3371913219103228,True,0.8166666666666667,True,0.7933333333333332
24.0,True,1.0,True,0.26263359189829777,True,0.5333333333333333,True,0.7148036499418557,True,0.6515076857445011,True,1.0
