Fold,10_y_test,10_y_proba,15_y_test,15_y_proba,30_y_test,30_y_proba,1_y_test,1_y_proba,3_y_test,3_y_proba,4_y_test,4_y_proba
0,True,0.9666666666666666,True,1.0,True,0.8,True,0.42772358009549655,True,0.6736096512183469,True,0.7385900356952988
1,True,0.1,True,0.2,True,0.1,True,0.49545230952414465,True,0.2706020042049454,True,0.3761839794192735
2,True,0.46797619047619043,True,0.6533333333333333,True,0.5,True,0.5191641514513854,True,0.5611673205074739,True,0.6474909086441595
3,True,1.0,True,0.75,True,0.6,True,0.4736795853539551,True,0.6879122128226988,True,0.8320121854409781
4,True,0.19166666666666668,True,0.5166666666666667,True,0.4,True,0.5098242136810819,True,0.5789677066228791,True,0.5657643755789536
5,True,0.8,True,0.9,True,0.9,True,0.5441900257467973,True,0.42710874651664116,True,0.423525641025641
6,True,0.8,True,0.6,True,0.8,True,0.5305119459082783,True,0.578045784624732,True,0.641406823217464
7,True,0.6672619047619048,True,0.5596428571428571,True,0.8,True,0.5369836803210117,True,0.6179323308270678,True,0.5259181865606013
8,True,0.6226190476190476,True,0.5677777777777777,True,0.4,True,0.5570131643060603,True,0.6667974280621339,True,0.6479807055689408
9,True,0.5,True,0.7,True,0.5,True,0.42205770638937035,True,0.44826839826839826,True,0.3560347985347986
10,True,1.0,True,0.96,True,0.6,True,0.44626279172767375,True,0.6213313035359072,True,0.8227418195839249
11,True,0.6853932178932178,True,0.8,True,0.9,True,0.5537669056646527,True,0.6033854092244185,True,0.5828062868504045
12,True,0.4916666666666667,True,0.4533333333333333,True,0.8,True,0.42761924376746147,True,0.6965969201077561,True,0.7502868658838509
13,True,0.9,True,1.0,True,0.5,True,0.4372123760214972,True,0.6595238095238096,True,1.0
14,True,1.0,True,0.8,True,0.7,True,0.32551933584318793,True,0.37530040221216693,True,0.3484948384948385
15,True,0.5,True,0.1,True,0.4,True,0.4327892955583403,True,0.42720057720057725,True,0.458968253968254
