Fold,10_y_test,10_y_proba,15_y_test,15_y_proba,30_y_test,30_y_proba,1_y_test,1_y_proba,3_y_test,3_y_proba,4_y_test,4_y_proba
0,True,0.9,True,0.8,True,0.6,True,0.4719307029451946,True,0.6032621889335446,True,0.8496291208791209
1,True,0.5,True,0.3,True,0.3,True,0.5362741251116112,True,0.5021889221889222,True,0.4289538239538239
2,True,0.5205411255411254,True,0.46547619047619043,True,0.9,True,0.49919141417212065,True,0.551173058505859,True,0.572260257858084
3,True,1.0,True,0.85,True,0.8,True,0.46416912589273746,True,0.6334338255819949,True,0.770619658119658
4,True,0.14666666666666667,True,0.48571428571428577,True,0.4,True,0.5677225721801428,True,0.5185346116731566,True,0.6055354449472097
5,True,0.4,True,0.5,True,1.0,True,0.49445705532228457,True,0.4396099651982005,True,0.33500777000776993
6,True,0.7,True,0.7,True,0.8,True,0.5362550777605942,True,0.6185803791152088,True,0.6026005766679141
7,True,0.6126190476190476,True,0.5775,True,0.4,True,0.5275530054409228,True,0.5674238425347256,True,0.5301153013653014
8,True,0.5888095238095239,True,0.6416666666666666,True,0.0,True,0.5506340300340831,True,0.524367201426025,True,0.5254322964617082
9,True,0.8,True,0.6,True,0.8,True,0.4577833917916145,True,0.6038461538461538,True,0.5933333333333334
10,True,1.0,True,1.0,True,0.9,True,0.4727351078092317,True,0.649728687989894,True,0.7722693972693973
11,True,0.6005952380952381,True,0.85,True,0.8,True,0.52038707359689,True,0.5644653790369902,True,0.5704304927099045
12,True,0.9,True,0.9,True,0.8,True,0.429736794104483,True,0.5547365053247406,True,0.7952017590252884
13,True,0.6,True,0.7,True,0.4,True,0.44751539245487804,True,0.7150641025641026,True,0.7847619047619048
14,True,0.0,True,0.5,True,0.5,True,0.3899283306995641,True,0.497258507522002,True,0.28725191475191475
15,True,0.6,True,0.7,True,0.3,True,0.4551067021374903,True,0.7271428571428571,True,0.46130952380952384
16,True,0.6,True,0.9,True,0.8,True,0.5037093537855392,True,0.6243330280830282,True,0.0
17,True,0.12,True,0.3,True,0.6,True,0.476421074102037,True,0.289664120193532,True,0.2629961704961705
18,True,0.4,True,0.5,True,0.6,True,0.5207428284490677,True,0.5404824260706614,True,0.5716666666666667
19,True,0.4,True,0.2,True,0.2,True,0.5345828846184352,True,0.5188235294117647,True,0.6172755641331493
20,True,0.0,True,0.1,True,0.3,True,0.4976539537815426,True,0.32892623716153124,True,0.25649891774891775
21,True,0.12857142857142856,True,0.5,True,0.3,True,0.462480864595182,True,0.27521605845135255,True,0.39037670662670665
22,True,0.6,True,0.2,True,0.5,True,0.522689597554358,True,0.45813892248102767,True,0.7199999999999999
23,True,1.0,True,0.8857142857142858,True,0.9,True,0.4601076497175834,True,0.5690485829959514,True,0.8660042735042734
24,True,0.4,True,0.4,True,0.8,True,0.5355426608275446,True,0.48813202878992346,True,0.16333333333333333
25,True,0.5,True,0.4,True,0.5,True,0.5188861615769379,True,0.5123516679399033,True,0.4338636363636364
26,True,0.3,True,0.1,True,0.5,True,0.4975334586632603,True,0.3232634032634033,True,0.13711038961038963
27,True,0.4,True,0.2,True,0.6,True,0.4839868123525176,True,0.3329884004884005,True,0.25867826617826617
28,True,0.8,True,0.6,True,0.6,True,0.48333739935900394,True,0.7891666666666667,True,0.5830952380952381
29,True,0.8,True,0.6,True,0.7,True,0.48761280636600335,True,0.29767760017760014,True,0.7307142857142856
30,True,0.4,True,0.4333333333333333,True,0.3,True,0.5333160557216927,True,0.5499207152496627,True,0.74495337995338
31,True,0.5,True,0.85,True,1.0,True,0.49715361891992327,True,0.5238176964149505,True,0.3838245088245088
32,True,0.7,True,0.6,True,0.6,True,0.49470045206068347,True,0.3523953823953824,True,0.11583333333333332
33,True,0.1,True,0.4,True,0.4,True,0.4490869949237511,True,0.35207047854106677,True,0.2453857253857254
34,True,0.4,True,0.8,True,0.2,True,0.4908375104427737,True,0.27354723707664885,True,0.37364080364080365
35,True,0.205,True,0.6,True,0.5,True,0.47629645445202795,True,0.2669127441186264,True,0.29222222222222227
36,True,0.9,True,0.6,True,0.7,True,0.45204167383621235,True,0.6880555555555555,True,0.5192207792207791
37,True,0.44000000000000006,True,0.7,True,0.4,True,0.4509957092403362,True,0.5500961538461537,True,0.8073611111111111
